entry,at,order
"""failing235 @ -b3KrGCTsz"" shows a 4♦, 6♣.",2025-12-09T04:11:21.658Z,176525348165801
"Uncalled bet of 90500 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:11:21.658Z,176525348165800
"Some players choose to not run it twice.",2025-12-09T04:11:20.821Z,176525348082101
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:11:20.821Z,176525348082100
"Remaining players decide whether to run it twice.",2025-12-09T04:11:19.530Z,176525347953001
"""Nate Higgers @ s9p1qZMXYl"" calls 39750 and go all in",2025-12-09T04:11:19.530Z,176525347953000
"""failing235 @ -b3KrGCTsz"" raises to 130250 and go all in",2025-12-09T04:11:18.557Z,176525347855700
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:11:16.491Z,176525347649105
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:11:16.491Z,176525347649104
"Your hand is 5♣, 7♣",2025-12-09T04:11:16.491Z,176525347649103
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (130250) | #2 ""Nate Higgers @ s9p1qZMXYl"" (39750)",2025-12-09T04:11:16.491Z,176525347649101
"-- starting hand #81 (id: idiivqfsi4gm)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:11:16.491Z,176525347649100
"""Nate Higgers @ s9p1qZMXYl"" shows a 10♠.",2025-12-09T04:11:13.811Z,176525347381100
"""failing235 @ -b3KrGCTsz"" shows a 2♦.",2025-12-09T04:11:10.481Z,176525347048100
"""failing235 @ -b3KrGCTsz"" shows a K♠.",2025-12-09T04:11:10.347Z,176525347034700
"Undealt cards:  [8♣, Q♦, 6♦, 3♥, 10♥]",2025-12-09T04:11:09.934Z,176525346993400
"-- ending hand #80 --",2025-12-09T04:11:09.170Z,176525346917002
"""failing235 @ -b3KrGCTsz"" collected 600 from pot",2025-12-09T04:11:09.170Z,176525346917001
"Uncalled bet of 129650 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:11:09.170Z,176525346917000
"""Nate Higgers @ s9p1qZMXYl"" folds",2025-12-09T04:11:08.360Z,176525346836000
"""failing235 @ -b3KrGCTsz"" raises to 129950 and go all in",2025-12-09T04:11:05.065Z,176525346506500
"""Nate Higgers @ s9p1qZMXYl"" raises to 300",2025-12-09T04:11:01.703Z,176525346170300
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:10:57.296Z,176525345729605
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:10:57.296Z,176525345729604
"Your hand is 10♠, Q♣",2025-12-09T04:10:57.296Z,176525345729603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (129950) | #2 ""Nate Higgers @ s9p1qZMXYl"" (40050)",2025-12-09T04:10:57.296Z,176525345729601
"-- starting hand #80 (id: muvlioplmjnm)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:10:57.296Z,176525345729600
"""failing235 @ -b3KrGCTsz"" shows a 5♣.",2025-12-09T04:10:52.618Z,176525345261800
"Undealt cards:  [10♦, 4♣, 6♠, 7♠, 2♦]",2025-12-09T04:10:52.603Z,176525345260300
"""failing235 @ -b3KrGCTsz"" shows a Q♠.",2025-12-09T04:10:52.582Z,176525345258200
"""Nate Higgers @ s9p1qZMXYl"" shows a K♦, 5♦.",2025-12-09T04:10:51.797Z,176525345179700
"-- ending hand #79 --",2025-12-09T04:10:49.955Z,176525344995502
"""Nate Higgers @ s9p1qZMXYl"" collected 100 from pot",2025-12-09T04:10:49.955Z,176525344995501
"Uncalled bet of 50 returned to ""Nate Higgers @ s9p1qZMXYl""",2025-12-09T04:10:49.955Z,176525344995500
"""failing235 @ -b3KrGCTsz"" folds",2025-12-09T04:10:49.140Z,176525344914000
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:10:45.646Z,176525344564605
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:10:45.646Z,176525344564604
"Your hand is K♦, 5♦",2025-12-09T04:10:45.646Z,176525344564603
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (130000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (40000)",2025-12-09T04:10:45.646Z,176525344564601
"-- starting hand #79 (id: tcyavr783eco)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:10:45.646Z,176525344564600
"-- ending hand #78 --",2025-12-09T04:10:39.642Z,176525343964201
"""Nate Higgers @ s9p1qZMXYl"" collected 40000 from pot with A High (combination: A♦, K♣, Q♦, 10♣, 9♥)",2025-12-09T04:10:39.642Z,176525343964200
"River: 10♣, K♣, A♦, 9♥ [6♦]",2025-12-09T04:10:35.589Z,176525343558900
"Turn: 10♣, K♣, A♦ [9♥]",2025-12-09T04:10:31.582Z,176525343158200
"Flop:  [10♣, K♣, A♦]",2025-12-09T04:10:27.569Z,176525342756900
"""Nate Higgers @ s9p1qZMXYl"" shows a Q♦, 5♠.",2025-12-09T04:10:23.566Z,176525342356601
"""failing235 @ -b3KrGCTsz"" shows a 2♣, 4♦.",2025-12-09T04:10:23.566Z,176525342356600
"Some players choose to not run it twice.",2025-12-09T04:10:22.762Z,176525342276201
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:10:22.762Z,176525342276200
"Remaining players decide whether to run it twice.",2025-12-09T04:10:21.452Z,176525342145201
"""failing235 @ -b3KrGCTsz"" calls 20000",2025-12-09T04:10:21.452Z,176525342145200
"""Nate Higgers @ s9p1qZMXYl"" raises to 20000 and go all in",2025-12-09T04:10:20.559Z,176525342055900
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:10:14.297Z,176525341429705
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:10:14.297Z,176525341429704
"Your hand is Q♦, 5♠",2025-12-09T04:10:14.297Z,176525341429703
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (150000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (20000)",2025-12-09T04:10:14.297Z,176525341429701
"-- starting hand #78 (id: bq1cewbqsjpe)  (No Limit Texas Hold'em) (dealer: ""Nate Higgers @ s9p1qZMXYl"") --",2025-12-09T04:10:14.297Z,176525341429700
"-- ending hand #77 --",2025-12-09T04:10:08.237Z,176525340823701
"""Nate Higgers @ s9p1qZMXYl"" collected 20000 from pot with Flush, Ad High (combination: A♦, J♦, 10♦, 9♦, 7♦)",2025-12-09T04:10:08.237Z,176525340823700
"River: Q♥, 9♦, A♣, J♦ [10♦]",2025-12-09T04:10:04.165Z,176525340416500
"Turn: Q♥, 9♦, A♣ [J♦]",2025-12-09T04:10:00.148Z,176525340014800
"Flop:  [Q♥, 9♦, A♣]",2025-12-09T04:09:56.115Z,176525339611500
"""Nate Higgers @ s9p1qZMXYl"" shows a 7♦, A♦.",2025-12-09T04:09:52.112Z,176525339211202
"""failing235 @ -b3KrGCTsz"" shows a 5♦, 3♦.",2025-12-09T04:09:52.112Z,176525339211201
"Uncalled bet of 150000 returned to ""failing235 @ -b3KrGCTsz""",2025-12-09T04:09:52.112Z,176525339211200
"Some players choose to not run it twice.",2025-12-09T04:09:51.251Z,176525339125101
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:09:51.251Z,176525339125100
"Remaining players decide whether to run it twice.",2025-12-09T04:09:49.832Z,176525338983201
"""Nate Higgers @ s9p1qZMXYl"" calls 10000 and go all in",2025-12-09T04:09:49.832Z,176525338983200
"""failing235 @ -b3KrGCTsz"" raises to 160000 and go all in",2025-12-09T04:09:48.061Z,176525338806100
"""Nate Higgers @ s9p1qZMXYl"" posts a big blind of 100",2025-12-09T04:09:46.697Z,176525338669707
"""failing235 @ -b3KrGCTsz"" posts a small blind of 50",2025-12-09T04:09:46.697Z,176525338669706
"Your hand is 7♦, A♦",2025-12-09T04:09:46.697Z,176525338669705
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (160000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (10000)",2025-12-09T04:09:46.697Z,176525338669703
"The player ""Nate Higgers @ s9p1qZMXYl"" joined the game with a stack of 10000.",2025-12-09T04:09:46.697Z,176525338669702
"The player ""failing235 @ -b3KrGCTsz"" joined the game with a stack of 160000.",2025-12-09T04:09:46.697Z,176525338669701
"-- starting hand #77 (id: 0usj4wtho2yt)  (No Limit Texas Hold'em) (dealer: ""failing235 @ -b3KrGCTsz"") --",2025-12-09T04:09:46.697Z,176525338669700
"The admin approved the player ""Nate Higgers @ s9p1qZMXYl"" participation with a stack of 10000.",2025-12-09T04:09:36.460Z,176525337646000
"The player ""Nate Higgers @ s9p1qZMXYl"" requested a seat.",2025-12-09T04:09:34.407Z,176525337440700
"The player ""Nate Higgers @ s9p1qZMXYl"" quits the game with a stack of 0.",2025-12-09T04:09:16.118Z,176525335611800
"-- ending hand #76 --",2025-12-09T04:09:10.115Z,176525335011501
"""failing235 @ -b3KrGCTsz"" collected 160000 from pot with Full House, 6's over Q's (combination: 6♦, 6♥, 6♣, Q♠, Q♦)",2025-12-09T04:09:10.115Z,176525335011500
"River: 6♥, Q♠, 3♣, Q♦ [6♣]",2025-12-09T04:09:06.087Z,176525334608700
"Turn: 6♥, Q♠, 3♣ [Q♦]",2025-12-09T04:09:02.049Z,176525334204900
"Flop:  [6♥, Q♠, 3♣]",2025-12-09T04:08:58.021Z,176525333802100
"""Nate Higgers @ s9p1qZMXYl"" shows a 2♥, 5♠.",2025-12-09T04:08:53.949Z,176525333394901
"""failing235 @ -b3KrGCTsz"" shows a 6♦, K♥.",2025-12-09T04:08:53.949Z,176525333394900
"Some players choose to not run it twice.",2025-12-09T04:08:53.129Z,176525333312901
"""failing235 @ -b3KrGCTsz"" chooses to not run it twice.",2025-12-09T04:08:53.129Z,176525333312900
"Remaining players decide whether to run it twice.",2025-12-09T04:08:52.308Z,176525333230801
"""failing235 @ -b3KrGCTsz"" calls 80000 and go all in",2025-12-09T04:08:52.308Z,176525333230800
"""Nate Higgers @ s9p1qZMXYl"" raises to 80000 and go all in",2025-12-09T04:08:51.150Z,176525333115000
"""failing235 @ -b3KrGCTsz"" posts a big blind of 100",2025-12-09T04:08:39.097Z,176525331909705
"""Nate Higgers @ s9p1qZMXYl"" posts a small blind of 50",2025-12-09T04:08:39.097Z,176525331909704
"Your hand is 2♥, 5♠",2025-12-09T04:08:39.097Z,176525331909703
"Player stacks: #1 ""failing235 @ -b3KrGCTsz"" (80000) | #2 ""Nate Higgers @ s9p1qZMXYl"" (80000)",2025-12-09T04:08:39.097Z,176525331909701
